x y t s
0.606054 40.694406 "2022-12-26 08:29:00+00:00" 1
0.606054 40.694406 "2022-12-26 08:29:00+00:00" 1
0.606112 40.694372 "2022-12-26 08:29:01+00:00" 1
0.606112 40.694372 "2022-12-26 08:29:01+00:00" 1
0.606167 40.694337 "2022-12-26 08:29:02+00:00" 1
0.606167 40.694337 "2022-12-26 08:29:02+00:00" 1
0.606219 40.694301 "2022-12-26 08:29:03+00:00" 1
0.606219 40.694301 "2022-12-26 08:29:03+00:00" 1
0.606273 40.694263 "2022-12-26 08:29:04+00:00" 1
0.606273 40.694263 "2022-12-26 08:29:04+00:00" 1
0.606331 40.694226 "2022-12-26 08:29:05+00:00" 1
0.606331 40.694226 "2022-12-26 08:29:05+00:00" 1
0.606388 40.694195 "2022-12-26 08:29:06+00:00" 1
0.606388 40.694195 "2022-12-26 08:29:06+00:00" 1
0.606444 40.694161 "2022-12-26 08:29:07+00:00" 1
0.606444 40.694161 "2022-12-26 08:29:07+00:00" 1
0.606498 40.694125 "2022-12-26 08:29:08+00:00" 1
0.606498 40.694125 "2022-12-26 08:29:08+00:00" 1
0.606556 40.69409 "2022-12-26 08:29:09+00:00" 1
0.606556 40.69409 "2022-12-26 08:29:09+00:00" 1
0.606614 40.694055 "2022-12-26 08:29:10+00:00" 1
0.606614 40.694055 "2022-12-26 08:29:10+00:00" 1
0.60667 40.694017 "2022-12-26 08:29:11+00:00" 1
0.60667 40.694017 "2022-12-26 08:29:11+00:00" 1
0.606727 40.693985 "2022-12-26 08:29:12+00:00" 1
0.606727 40.693985 "2022-12-26 08:29:12+00:00" 1
0.606784 40.693952 "2022-12-26 08:29:13+00:00" 1
