Name,Class,Latitude,Longitude
Castell de Geltrú,Castells,41.226902,1.727828
Castell de Gerb,Castells,41.825363,0.803686
Castell de Gessa,Castells,42.705704,0.890437
Castell de Gilareny,Castells,42.489857,1.213552
Castell de Gimenells,Castells,41.676842,0.394886
Castell de Gironella ,Castells,42.033588,1.882318
Castell de Gironella o Torre Gironella,Castells,41.986759,2.829438
Castell de Gósol ,Castells,42.234032,1.660569
Castell de Gospí,Castells,41.738354,1.34968
Castell de Granera,Castells,41.729897,2.057718
Castell de Granollers,Castells,42.068352,2.651833
Castell de Granyena,Castells,41.624043,1.244969
Castell de Grevalosa,Castells,41.693117,1.65395
Castell de Grialó,Castells,41.900433,1.105939
Castell de Guàrdia,Castells,42.101166,0.876605
Castell de Guardiola,Castells,42.215473,1.868641
Castell de Guialmons,Castells,41.512295,1.365883
Castell de Guimerà ,Castells,41.565189,1.185971
Castell de Gurb ,Castells,41.95211,2.210392
Castell de Jafre ,Castells,42.072811,3.011004
Castell de Jorba ,Castells,41.602558,1.546452
Castell de Josa,Castells,42.257271,1.618904
Castell de Jou,Castells,42.598133,1.113801
Castell de Juià ,Castells,42.014053,2.911106
